date,cloud_cover
2018-05-20,0.5737017857142857
2018-05-27,0.5008821428571429
2018-06-03,0.5451892857142857
2018-06-10,0.5669151785714286
2018-06-17,0.5858482142857142
2018-06-24,0.4748053571428571
2018-07-01,0.3199053571428571
2018-07-08,0.34482232142857144
2018-07-15,0.46773035714285716
2018-07-22,0.5580017857142857
2018-07-29,0.5197848214285714
2018-08-05,0.5208794642857143
2018-08-12,0.5926160714285714
2018-08-19,0.5736607142857143
2018-08-26,0.5482089285714286
2018-09-02,0.5118741071428571
2018-09-09,0.46709375
2018-09-16,0.7078776785714286
2018-09-23,0.6137080357142857
2018-09-30,0.5436946428571429
2018-10-07,0.6880205357142858
2018-10-14,0.7023714285714285
2018-10-21,0.5783366071428572
2018-10-28,0.5720714285714286
2018-11-04,0.6214946428571428
